    #         X           Y           Z       CHARGE      MIN DIST   ATOMIC VOL
 --------------------------------------------------------------------------------
    1    5.000000    5.000000    5.000000    7.761352     0.989950   567.125000
    2    5.000000    5.735530    4.123390    2.238658     0.042538   432.875000
 --------------------------------------------------------------------------------
    VACUUM CHARGE:               0.0000
    VACUUM VOLUME:               0.0000
    NUMBER OF ELECTRONS:        10.0000
