    #         X           Y           Z       CHARGE      MIN DIST   ATOMIC VOL
 --------------------------------------------------------------------------------
    1    5.000000    4.500000    5.000000    7.906910     1.100000   524.849000
    2    5.000000    5.643650    5.000000    2.093100     0.056350   475.151000
 --------------------------------------------------------------------------------
    VACUUM CHARGE:               0.0000
    VACUUM VOLUME:               0.0000
    NUMBER OF ELECTRONS:        10.0000
